"name","responsibility","requirement","currency","from","to"
"Охранник","Оперативная группа охраны / мобильная группа охраны. Рестораны. Магазины (элитная парфюмерия и косметика, одежда, продукты). Гипермаркеты бытовой техники и электроники. ","Рассматриваем кандидатов с опытом работы в охране. Наличие действующего УЛЧО обязательно! Аккуратность, ответственность, желание работать.","RUR","55000","null"
"Менеджер активных продаж (рекламный агент)","Активные продажи рекламы в крупных сетях (Гипермаркеты, АЗС и т.д.). Назначение встреч с потенциальными рекламодателями. Проведение переговоров (холодные и...","Требуются активные кандидаты, умеющие свободно общаться с представителями заказчика любого ранга, имеющие опыт продаж и ведения клиентской базы, положительно относящиеся...","RUR","30000","150000"
"Заместитель Руководителя отдела продаж","Работа с отделом продаж - контроль за исполнением обязанностей сотрудниками. Корректировка несостоявшихся продаж, контроль корректного заполнения отчетности, контроль соблюдения стандартов обслуживания...","Опыт работы в продажах от 3 лет. Опыт личных успешных продаж. Навыки работы с персоналом: наставничество, управленческие навыки, мотивация персонала. ","RUR","50000","null"
"Торговый представитель (Монделиз)","Посещение торговых точек согласно маршрута. Развитие клиентской базы. Совершение продаж. Ведение документации. Сбор дебиторской задолженности.","Знание ПК (офисные программы). Коммуникабельность. Стрессоустойчивость. Ответственность. Лояльность. Опыт в прямых продажах желателен. Опыт в проведении переговоров.","RUR","40000","null"
"Мастер отделочных работ/прораб","Контроль за работой отделочников. Контроль качества выполняемых работ, заказ материалов на объекты, журналы работ, контроль сроков, сдача объектов. ","Обязателен опыт работы от 3 лет. Профильное образование. Управленческий навык.","RUR","40000","60000"
"Технолог программист станков ЧПУ","Сопровождение техпроцессов металлообработки на ЧПУ-центре.","Знания технологии металлообработки на станках ЧПУ, программирования, нормирования работ.","RUR","50000","null"
"Врач-педиатр участковый (Одинцово)","Амбулаторно-поликлинический прием населения. Посещение больных на дому. Работа по диспансеризации и вакцинации населения. Санитарно-гигиеническое просвещение населения. ","Высшее медицинское образование. Наличие аккредитации специалиста или сертификата специалиста. Наличие медицинской книжки.","RUR","70000","null"
"Системотехник","техническая поддержка пользователей, диагностика неисправностей и настройка оборудования. * техническое обслуживание информационных систем. * организация ремонта неисправного оборудования, приобретение нового оборудования. * ","уверенный пользователь ПК. * опыт работы от 1 года. * опыт администрирования сетей под управлением MS Windows Server. * опыт настройки почтовых и...","RUR","58200","92400"
"Торговый представитель","Развитие клиентской базы, увеличение объемов продаж на закрепленной территории (г.Калуга, Калужская область). Активный поиск новых клиентов. Сбор заявок и контроль...","Активная жизненная позиция. Умение ставить цели и достигать их. Умение работать с клиентами по высоким стандартам обслуживания. Опыт работы в...","RUR","50000","null"
"Электросварщик на автоматических и полуавтоматических машинах","Механизированная сварка в среде защитных газов. Сварка роторов, станин дробилок, агрегатов металлических конструкций средней сложности.","4-5 разряд. Стаж не менее 3х лет- подтверждение ТК. Действующее удостоверение. По приезду пробный шов!","RUR","60000","62000"
"Ведущий инженер-программист (С++)","Разработка и поддержка сервисов для CTI (Computer Telephony Integration). Разработка различных серверных служб. Разработка кроссплатформенных клиентских приложений, связанных с VoIP. ","Хорошая алгоритмическая подготовка, умение анализировать и решать поставленные задачи. Уверенное знание C++. Знание скриптовых языков, применение их для решения локальных...","RUR","70000","null"
"Токарь","Обработка деталей средней сложности на станке ДИП 300.","3-4 разряд. Стаж не менее 3х лет- подтверждение по Трудовой книжке.","RUR","60000","null"
"Оператор станка с ЧПУ (фрезерная группа)","null","От 4 разряда. Запись в ТК (опыт от 3х лет).","RUR","58000","60000"
"Электромонтажник","Прокладка кабелей по тепловозу.","Группа допуска по электробезопасности (действующая). Опыт работы.","RUR","65000","null"
"Массажист","Выполнять различные виды массажа.","Медицинское образование. Соответствующий сертификат. Опыт работы желателен.","RUR","37000","null"
"Газорезчик","null","Опыт работы газорезчиком от 3 лет. Разряд 3-5.","RUR","70000","null"
"Врач травматолог-ортопед (Дятьково, Брянская область)","В соответствии с должностной инструкцией.","Наличие действующего сертификата.","RUR","40000","null"
"Водитель-менеджер","консультация клиентов по услугам компании. - заключение договоров. - ведение отчетности.","опрятный внешний вид. - коммуникабельность. - быстрообучаемость.","RUR","30000","70000"
"Фрезеровщик","Фрезерование сложных деталей и инструмента на горизонтальных и вертикальных фрезерных станках с применением режущего инструмента и универсальных приспособлений.","Опыт работы на универсальном фрезерном станке. От 4 разряда. Наличие записей в трудовой книжке.","RUR","60000","63000"
"Frontend-разработчик (Angular 2)","null","Опыт Frontend разработки от 2х лет. Хорошие знания Angular 2. Уверенные знания JavaScript. Уверенные знания TypeScript, а также RxJS. ","RUR","50000","65000"
"Менеджер по продажам","встречами с клиентами. Задачи менеджера : Проведение телефонных и личных деловых встреч, выявление потребностей клиента, презентация услуг клининга, грамотное составление коммерческого...","Образование не ниже средне-профессионального или высшее. -опыт работы в продажах. - готовность работать с холодными звонками. - владение техниками ведения переговоров. - ","RUR","25000","50000"
