"name","responsibility","requirement","currency","from","to"
"Инженер-диагност","Организация работы мастерской подразделения. Обеспечение работоспособности техники подразделения. Обеспечение потребности в запасных частях. Контроль работы механиков РММ. Планирование загрузки мастерской. ","Высшее техническое образование. Владение MS Office на уровне уверенного пользователя. Знание устройства, правил обслуживания и ремонта с/х техники. ","RUR","42000","null"
"Руководитель группы продаж","Выполнять план группы по продажам на потенциальном рынке (мелкий сегмент). Организовывать, планировать и контролировать деятельность группы отдела продаж. ","Уверенный пользователь ПК и знание MS Office. Навык ведения деловых переговоров (лично, по телефону, с первыми лицами компании). ","RUR","50000","null"
"Фрезеровщик (Коломна)","Выполнение работ на горизонтальных и вертикальных фрезерных станках.","Разряд 4-6. Опыт работы не менее 3-х лет на предприятиях машиностроения.","RUR","60000","70000"
"Торговый представитель","Активные продажи лакокрасочной продукции в существующие торговые точки. Посещение клиентов по маршруту. Контроль дебиторской задолженности. Поиск и привлечение новых клиентов. ","Активная жизненная позиция. Коммуникабельность, Ответственность. Уверенный пользователь ПК (Excel, Эл. почта). Высшее или Среднее специальное образование. Желание работать и зарабатывать. ","RUR","20000","50000"
"Грузчик","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","50000","null"
"Упаковщик (упаковщица) ланчей в аэропорт","Комплектовка пончиков на производстве по упаковкам.","Опыт работы не имеет значения, мы Вас обучим бесплатно.","RUR","38000","null"
"Оператор конвейерной линии","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","50000","null"
"Оператор конвейерной линии","Стикеровка продукции складов. Работа на линии.","null","RUR","60000","null"
"Ведущий инженер-конструктор по направлению микротурбины и энергогенерация","Разработка эскизных, технических и рабочих чертежей в соответствии с ЕСКД по направлению микротурбины и энергогенерация. Взаимодействие с заказчиками в части...","Опыт работы в должности ведущего инженера – конструктора по направлению на предприятиях (инжиниринговых компаниях) в сферах машиностроения, двигателестроения, авиастроения, энергетики. ","RUR","60000","80000"
"Менеджер по продажам/ торговый представитель","Поиск новых клиентов (холодные звонки ,отправка коммерческих предложений и пр). Создание и поддержание клиентской базы (юр. лица, ип, организации). ","Активный. Целеустремленный. ПК (пользователь). Личный автомобиль (работа разъездного характера).","RUR","30000","50000"
"Менеджер по продажам электротехнической продукции","Прямые продажи электротехнического оборудования. 1. Холодные звонки. 2. Проведение переговоров. 3. Заключение договоров. 4. Сопровождение сделок. 5. Работа с дебиторской...","Уверенный пользователь ПК. Обучаемость, способность к работе с большим объемом информации.","RUR","29000","140000"
"Грузчик-наборщик","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","50000","null"
"Монтажник по монтажу стальных и железобетонных конструкций","Выполнение монтажных и бетонных работ на строительстве мостов в Московской и Калужской областях.","Опыт работы монтажником на строительстве мостов. Наличие квалификационных документов по вакансии &quot;монтажник по монтажу стальных и железобетонных конструкций&quot;.","RUR","51000","60000"
"Медицинский представитель","Продвижение медицинских услуг клиники среди врачей акушеров-гинекологов в г. Калуга и Тула. Индивидуальные визиты. Проведение круглых столов, презентаций. ","Высшее профессиональное образование. Опыт работы медицинским представителем, КАМом.","RUR","40000","null"
"Рабочий-грузчик","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","50000","null"
"Resident-Engineer (Czech Republic, the Skoda Plant)","Formel D. The Driving Force. We are the service provider that assures for automotive manufacturers and suppliers the quality of...","Language skills - English – fluent German – fluent Czech – would be an advantage. Working experience in the automotive industry.","EUR","1200","null"
"Водитель грузового транспорта","Управление автомобилем-мусоровозом.","Знание устройства и эксплуатации автомобилей МАЗ,КАМАЗ,ГАЗ. Водительское удостоверение категории &quot;С&quot;. Опыт работы на большегрузных автомобилях. Хорошее знание Москвы...","RUR","50000","90000"
"Подсобный рабочий","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","50000","null"
"Комплектовщик","Работа на складе товаров для рукоделия и творчества. Укомплектовка товара.","null","RUR","49500","60000"
"Водитель самосвала категория С,Е","Правила дорожного движения, включая изменения и дополнения, принятые в последнее время. Вид и размер штрафных санкций за нарушение ПДД. ","Ответственность, внимательность, пунктуальность, исполнительность. Умение работать с сопроводительной документацией на груз (ТТН, ТН, путевой лист). Опыт работы на тягаче обязателен. ","RUR","40000","null"
"Автослесарь","Качественный ремонт автомобилей.","Знание устройства автомобилей. Опыт работы механиком с автомобилями. Ответственность, исполнительность, целеустремленность.","RUR","45000","75000"
"Территориальный руководитель по привлечению юридических лиц","Формирование и развитие команды менеджеров – от 8 сотрудников. Системная организация поиска и привлечения юридических лиц и ИП на обслуживание в...","Высшее образование. Опыт активных продаж и ведения переговоров с первыми лицами компаний. Опыт руководства, наставничества и обучения (от 3 человек...","RUR","80000","null"
"Электромонтажник","null","Опыт работы от 1 года. Наличие удостоверения, диплома или записи в трудовой книжке.","RUR","68000","null"
"Сварщик","Сварка на полуавтомате (металлоконструкции).","Опыт работы.","RUR","50000","null"
"Оператор-наладчик ЧПУ","Работа со стойкой Fanuc или HEIDENHAIN. Написание программы. Фрезерная группа, Токарная группа.","От 3 разряда. Умение писать программы.","RUR","80000","null"
"Сварщик НАКС СК","Сварка полуавтоматом (Финский кемпинг). Толщина металла 18 мм. Чтение чертежей.","Разряд 4. Действующий НАКС СК. Записи в трудовой книжке. Диплом, удостоверение (обязательно).","RUR","80000","null"
"Менеджер по продажам группы дистанционного сбыта","Расширение клиентской базы, продвижение продуктов и услуг компании. Исходящие звонки потенциальным клиентам, с целью продажи системы КонсультантПлюс, клиентская база - предоставляется. ","Образование: высшее/неоконченное высшее‚ средне-техническое. Опыт работы с корпоративными клиентами (ЮЛ) приветствуется. Знание методик продаж (СПИН, стандартные этапы продаж). ","RUR","40000","null"
"Рабочий на производство","ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ: Погрузочно-разгрузочные работы. Поддержание санитарного состояния участка. Полный пакет документов.","Опыт работы в данной должности или на производстве будет преимуществом. Аккуратность, внимательность, точность, опыт работы с весами. Готовность к интенсивному...","RUR","42000","null"
"Врач педиатр участковый","Работа на участке, прием больных и профилактический осмотр здоровых детей, работа с мед. документацией, в том числе и в программе...","Наличие свидетельства о первичной аккредитации, либо действующего сертификата по специальности &quot;педиатрия&quot;.","RUR","20000","52000"
"Электрогазосварщик","Полуавтоматическая сварка металлоконструкций в цеху. - Прохождение тестового шва на производстве.","Опыт работы от 1-го года по трудовой книге. - Наличие диплома либо удостоверения по профессии ОБЯЗАТЕЛЬНО.","RUR","null","70000"
"Обвальщик мяса","Обвалка туши и части туш всех видов мяса. Отделение мышечной, жировой и соединительной тканей от костей при обвалке. Нарезка мяса. ","Опыт работы Мясником (обвальщиком) мяса от 1 года, желательно в ритейле. Коммуникабельность, умение общаться с покупателями, хороший рус.яз. ","RUR","55000","null"
"Электрогазосварщик","Сварка труб. Толщина от 8мм до 18мм.","Опыт работы на автоматических и полуавтоматических машинах. Разряд 3-6. Опыт от 2лет.","RUR","60000","65000"
"Технический специалист по продажам металлорежущего инструмента и оборудования","Поддержание деловых отношений с существующими клиентами (80%) и поиск новых клиентов (20%) на вверенной территории - г. Калуга и Калужская область. ","Образование - высшее техническое или средне-специальное (машиностроение, металлообработка или подобное профильное - обязательно). Отличные знания металлообрабатывающего инструмента, режимов резания, станков; знание...","RUR","40000","80000"
"Разнорабочий","Фасовка, упаковка мясных изделий.","Опыт работы не требуется, только ваше желание работать и зарабатывать.","RUR","50000","null"
"Комплектовщик","Комплектация продукции.","Опыт работы не обязателен. Готовность к интенсивной работе.","RUR","55000","null"
"Менеджер по контекстной рекламе","Создание рекламных кампаний в Яндекс.Директ и Google.Adwords (подбор семантического ядра, настройка кампаний, настройка управления ставками, написание текстов объявлений). ","Опыт работы с рекламными кампаниями Яндекс.Директ‚ Google AdWords. Навыки работы с Google Analytics‚ Яндекс Метрика. Актуальные знания в сфере контекстной...","RUR","50000","null"
"Региональный представитель","проведение встреч с закрепленными клиентами на их территории с целью получения заказов на поставки оборудования. - привлечение к сотрудничеству новых профильных...","готовность к постоянной работе &quot;в поле&quot;. - навыки ведения коммерческих переговоров.","RUR","30000","50000"
"Маляр по металлу","Покраска краскопультом. Воздушная и безвоздушная покраска. Измерение толщины покраски толщинометром (гребенка и электронно).","Наличие соответствующей записи в трудовой книжке, подтверждающей опыт работы. Наличие удостоверения.","RUR","55000","60500"
"Сервисный инженер (в Москве)","Прием продукции. Упаковка, распаковка товаров (смартфоны, планшеты). Блочный ремонт телефонов после обучения. Осмотр продукции на наличие дефектов и диагностика. ","Уверенный пользователь ПК. Опыт работы будет Вашим преимуществом. Техническое образование будет преимуществом. Аккуратность и внимательность. Приветствуется опыт работы по должности...","RUR","44000","null"
"Менеджер по продажам","Обработка входящих звонков, проведение переговоров с Клиентами и презентаций с целью продажи шатров и тентовых конструкций в офисе Компании (90...","Законченное высшее образование. Опыт работы в области продаж от 1 года. Развитые коммуникативные навыки. Ориентация на достижение конкретных качественных и...","RUR","80000","null"
"Менеджер по оптовым продажам","Обязанности: Поиск клиентов на закрепленной территории, работа с существующей базой, контроль за дебиторской задолженностью, проведение презентаций, обучение клиентов.","Высшее образование, водительские права категории &quot;В&quot;, водительский стаж от 1 года. Предпочтение выпускникам технических вузов, знание основ устройства автомобиля.","RUR","25000","50000"
"Управляющий столовой","Контроль расходов и соблюдение технологии приготовления блюд. Контроль качества сырья и выхода готовой продукции. Контроль соблюдения стандартов обслуживания на объекте. ","Наличие медицинской книжки. Знание программ: R-keeper, 1С, MS Office. Опыт работы в кейтеринге является преимуществом. Опыт управления коллективом...","RUR","null","90000"
"Водитель манипулятора","Поддержание автомобиля в исправном состоянии.","Опыт работы на МАЗ, КАМАЗ, УРАЛ, ЗИЛ, дисциплинированность, бережное отношение к технике, исполнительность, желание зарабатывать!","RUR","35000","80000"
"Контролер ОТК","null","чтение чертежей. - знание мерительного инструмента(штангенциркуль, микрометр, глубиномер, штангенрейсмас, индикатор, нутромер).","RUR","55000","60000"
"Менеджер по продажам автомобилей, ДЦ Лада","Продажа автомобилей. Проведение тест - драйвов. Ведение переговоров с клиентами на всех этапах продажи, закрытие сделок. Ведение клиентской базы. ","Высшее образование. Опыт работы в продажах более 1 года. Развитые коммуникативные навыки. Права категории В обязательно. Знание 1С. ","RUR","50000","null"
"Наладчик станков с ПУ на токарные центра","Написание программ на самой стойке.","Знание стойки FANUK. - Чтение чертежей.","RUR","79000","86000"
"Наладчик станков с ПУ на фрезерные центра","Написание программ на самой стойке.","Знание стойки Хайденхайн.","RUR","79000","86000"
"Оператор станков с ПУ на токарные центра","Написание программ на самой стойке.","Знание стойки FANUK. - Чтение чертежей.","RUR","77000","83000"
"Оператор станков с ПУ на фрезерные центра","Написание программ на самой стойке.","Знание стойки Хайденхайн.","RUR","77000","83000"
"Торговый представитель","Развитие территории с &quot;0&quot;, поиск и ведение клиентов. Продвижение продукции компании в торговые точки. Расширение ассортиментной матрицы у клиентов. ","У Вас обязательно должен быть личный автомобиль, чтобы обеспечить максимальную мобильность. Коммуникабельность, активность, высокая работоспособность, целеустремленность, стрессоустойчивость, нацеленность на результат. ","RUR","40000","80000"
"Токарь-расточник","Работа на расточном станке DIXI 75 ON, вертикальном расточном ст. SIPHydroptik. Инструментальный цех.","Опыт работы по специальности. 5-6 р.","RUR","88000","null"
"Директор по развитию региона","Поиск помещений, удовлетворяющих предъявляемым требованиям, проведение переговоров с собственниками, заключение договоров аренды, организация и контроль проведения ремонтных работ, обеспечение магазина...","Успешный опыт работы на руководящей должности от 3 лет (в сферах оптовой, розничной торговле, в секторе FMCG и других сферах). ","RUR","60000","60000"
"Электросварщик на автоматических и полуавтоматических машин","Сварка &quot;полувагона&quot;, рамы (метод контроля-цветная дефектоскопия). -Сварка небольших узлов для вагона,умение варить вертикалом. -Сварка толстостенного металла на полуавтомате.Чтение...","опыт работы. -4-5 разряд . -наличие удостоверении и запись в ТК, действующее удостоверение по электробезопасности не ниже 2 группы.","RUR","57000","63000"
"Шлифовщик","плоская шлифовка: станки 3Б722,3Д756, 3Е756,3Л722А. - бесцентровая шлифовка: станки 6...","Опыт работы на станках 3Б722, 3Д756, 3Е756, 3Л722А, 6А184. - ","RUR","49000","54000"
"Разнорабочий/Маляр/Отделочник/Монтажник/Каменщик/Плиточник/","Выполнение любых вспомогательных и подсобных работ на вверенных участках производства. Выполняет погрузку, выгрузку, перемещение вручную и на тележках. ","Ответственность. Желание работать и зарабатывать. Выполнение поручений руководителя.","RUR","20000","70000"
"Ведущий менеджер по работе с корпоративными клиентами","Сопровождение и развитие действующих Клиентов Компании: проведение встреч, переговоров, подготовка коммерческих предложений, урегулирование конфликтных ситуаций, работа с дебиторской задолженностью. ","Высшее образование (обязательно очная, бюджетная форма обучения). Успешный опыт работы с Клиентами. Опыт управление персоналом. Наличие автомобиля (ГСМ, амортизация). ","RUR","70000","100000"
"Руководитель отдела продаж","Общее руководство обособленным подразделением численностью около 8 человек. Работа с командой менеджеров активных продаж по продажам на территории г. ","Опыт работы на должности: руководитель, заместитель руководителя, супервайзер, региональный представитель. Умение создавать команду и управлять ей. Способность за мотивировать подчиненных. ","RUR","50000","80000"
"Преподаватель английского языка","null","Высшее оконченное педагогическое образование. Знание языка на продвинутом уровне. Знание коммуникативных методик. Опыт работы в университете, колледже, иностранной школе приветствуется.","RUR","null","55000"
"Сварщик-аргонщик НАКС","Аргонодуговая сварка труб. МАДП, МП.","Действующий НАКС РАД ОХНВП п. 16.","RUR","140000","null"
"Начальник ПТО","Утверждение графика работ, контроль и организация бесперебойного производства. Получение разрешительной документации, техническое сопровождение работ. Контроль за ходом выполнения работ, соблюдением...","Высшее образование. Опыт работы на руководящей должности. Знание технологий строительных работ. Аналитический склад ума. Понимание сметного дела является преимуществом.","RUR","35000","50000"
"Бизнес-ассистент со знанием английского языка","Тайм менеджмент: фиксирование задач, планирование графика руководителя, расстановка задач по приоритетам, напоминание о них руководителю. Планирование собственного рабочего времени. ","Высшее или незаконченное высшее образование (выпускники ВУЗов). Владение английским языком на уровне Fluent (устно, письменно). Высокий культурный уровень. ","RUR","200000","200000"
"Токарь-расточник","обработка прессформ, литейных форм, пуансоны и матрицы, станок вертикально-расточной.","null","RUR","52000","57000"
"Водитель-экспедитор ( доставка грузов по России)","Доставка товара по распределительным центрам компании на автомобилях марок MAN РЭФ с полуприцепом, оформление путевой и сопроводительной товарно-транспортной документации.","Опыт работы на грузовых автомобилях с прицепом желателен. Категории Е.","RUR","59000","69000"
"Диагност – электрик","Выявление и устранение неисправностей, связанных с электрическими системами грузовых и коммерческих авто.","Знание устройства грузового авто. Опыт от 3 лет. Образование не ниже среднего. Ответственность, внимательность аккуратность.","RUR","50000","null"
"Слесарь – автомеханик","Выявление неисправностей ремонт и обслуживание грузовых авто коммерческого транспорта прицепов.","Знание устройства грузового авто. Опыт работы от 1 года. Образование не ниже среднего. Ответственность, обучаемость, дисциплинированность.","RUR","40000","null"
"Промоутер-консультант ТВ техники","Продвижение и продажа продукции в торговой точке. Выполнение плана продаж. Консультирование покупателей по техническим характеристикам продаваемой техники, мотивирование на покупку. ","Опыт работы в технике от года в Федеральном ритейле. Знание техники продаж. Уверенный пользователь ПК. Хорошие презентационные навыки. ","RUR","40000","null"
"Менеджер по продажам","Ведение и развитие существующей клиентской базы. Поиск новых клиентов. Ценовой мониторинг. Проведение переговоров(телефон, личные встречи). Анализ продаж / подбор ассортимента...","Знание техники продаж, основ маркетинга, тренинги продаж. Доброжелательность, коммуникабельность, стрессоустойчивость, умение работать в команде. Гражданин РФ. Знание ПК (MS Office). ","RUR","30000","70000"
"Автослесарь","Ремонт и техническое обслуживание автомобилей в соответствии с технической документацией производителя.","Образование средне-специальное (техническое). Опыт работы в аналогичной должности от 1 года. Желателен опыт работы у официального дилера. ","RUR","35000","100000"
"Менеджер по продажам автомобилей, ДЦ Mitsubishi","Продажа автомобилей. Проведение тест - драйвов. Ведение переговоров с клиентами на всех этапах продажи, закрытие сделок. Ведение клиентской базы. ","Высшее образование. Опыт работы в продажах более 1 года. Развитые коммуникативные навыки. Знание 1С. Грамотная речь. Ответственность.","RUR","50000","90000"
"Менеджер по продажам Cstore","получать удовольствие от работы и делать Клиента счастливым.","демонстрировать высокий уровень знаний, понимать Клиента с полуслова, мгновенно реагировать на запрос, обладать безграничным желанием помочь.","RUR","45000","null"
"Полицейский (1 ОПП Москва)","Осуществление мероприятий по охране общественной безопасности на массовых и спортивных мероприятиях и лесопарковых зонах города Москвы. Пресечение преступлений на обслуживаемой...","В возрасте до 35 лет - (ФЗ №342 от 30.11.2011 о службе в органах внутренних дел). Отслуживших в рядах...","RUR","45000","65000"
"Оператор склада (Вахта) (село Ворсино)","Комплектование товара с помощью голосового терминала; транспортировка товара к месту отгрузки при помощи гидравлической / электрической тележки. Осуществление своевременной и качественной...","null","RUR","35000","55000"
"Продуктовый аналитик веб-проекта","Исследование и реализация продуктовых изменений. Подготовка и проведение A/B тестирования, анализа и выводов по нему. Построение отчетов, моделей, прогнозирование...","Высшее экономическое, математическое или техническое образование. Хорошее знание математики. Навыки анализа численных данных и знание соответствующих инструментов. Опыт базовой и...","RUR","45000","80000"
"Маркетолог","Анализ конкурентов, трендов, рынков, новинок. Разработка стратегий развития бизнеса. Вывод новых продуктов на рынок. Формирование краткосрочных и долгосрочных планов маркетинговых...","Высшее маркетинговое/экономическое образование. Опыт работы в аналогичной должности от 3-х лет. Опыт работы в продвижении сегментов B2...","RUR","50000","null"
"Менеджер по продаже запасных частей, ДЦ Citroen","Консультация клиента. Продажа дополнительного оборудования и запасных частей. Учет поступления, перемещения, выдачи, списания, расхода запасных частей. Оформление документов.","Среднее специальное, высшее образование. Грамотная речь и умение общаться с клиентами. Навык продаж услуг сервиса. Знание устройства автомобиля. ","RUR","20000","50000"
"Токарь-расточник","null","Требования:опыт работы от года, документы по специальности.","RUR","66000","92000"
"Руководитель службы складской логистики","Организация и контроль выполнением работ по приему, хранению и отпуску товара. Организация погрузочно-разгрузочных работ. Разработка мероприятий по повышению эффективности...","Опыт работы руководством отдела складской логистики. Владение навыками работы 1С склад; 1С Торговля; 1С Логистика. ","RUR","45000","null"
"Фрезеровщик/токарь","null","Требования:опыт работы от года, документы по специальности.","RUR","55000","90000"
"Торговый представитель","Работа с существующей клиентской базой; Развитие базы!!! Привлечение новых клиентов на вверенной территории. Продвижение продукции, формирование заказов, контроль отгрузок, контроль...","Успешный опыт работы в аналогичной должности от 1 года. Грамотная речь, умение вести переговоры. Умение работать в команде, коммуникабельность, активность. ","RUR","40000","60000"
"Инженер-конструктор (ДВС)","Корпусов и картеров ДВС. Механизма газораспределения ДВС. Масляной, топливной и охладительной систем ДВС. Системы зажигания и электронных блоков управления ДВС.","Опыт работы. Знание ПО:Т-Flex.NX-Siemenc.","RUR","85000","null"
"Инженер-технолог по корпусным деталям и узлам","Подготовка технической документации. - Пооперационное расписание процесса изготовления деталей (редукторы, крышки, топливные насосы, блоки). - Привязка к станкам с ЧПУ. ","Знание конструкции режущего инструмента. Наличие 1 категории.","RUR","65000","null"
"Шлифовщик","Работа на плоской, круглой, внутренней шлифовке.","Наличие квалификации 4-6 р.","RUR","50000","null"
"Слесарь-электромонтажник","Сборка электротехнической продукции НКУ, РЗА, ОПУ, ОРУ, КРУ согласно рабоче-технической документации. Монтаж вторичных соединений по таблицам соединений, кабельным журналам. ","Чтение чертежей и электрических схем, знание основ электрических соединений.","RUR","55000","null"
"Расточник-координатчик","Работа на координатно-расточном станке.","Наличие квалификации 4-6 р.","RUR","50000","null"
"Фрезеровщик","Работа на вертикальных фрезерных станках.","Опыт работы, 4-6 р.","RUR","50000","null"
"Электромонтажник","Электромонтажные работы широкого профиля (высоковольтные подстанции, кабельные трассы, сборка и монтаж электрических шкафов, внутреннее и наружное освещение, автоматика, ОПС, телефонные...","Профильное образование (электромонтажник, электромонтер, электромеханик, электрослесарь, КИПиА, и др.) и опыт работы по электрике от 1 года.","RUR","42000","75000"
"Монтажник","Сборка внутренних инженерных сетей (вода, канализация, отопление, вентиляция, водяное пожаротушение и т.д.), технологического оборудования (сборка технологических линий, установка оборудования. ","Профильное образование (слесарь, механик, сварщик, сантехник, вентиляционщик и др.). Опыт аналогичной работы от 3 лет. Готовы также рассматривать людей без...","RUR","42000","65000"
"Заместитель начальника кулинарного производства (Калуга)","Организация ежедневной работы персонала, составление графиков выхода на работу. Планирование выпуска готовой продукции и контроль выполнения сменных заданий по цехам. ","Высшее или среднее профессиональное образование. Знание технологии производства продуктов питания. Знание нормативно-правовой документации в области пищевого производства. ","RUR","45000","63000"
"Региональный директор","Поиск потенциальных клиентов компании в сфере Управляющих компании ЖКХ и ТСЖ . Подписание договора на предоставление услуг сбора дебиторской задолженности. ","Опыт работы менеджером по продажам услуг. Опыт привлечения клиентов. Позитивный настрой на работу. Готовность четко и спокойно доносить информацию до...","RUR","50000","120000"
"Frontend-разработчик","Командная web-разработка с использованием современных технологий. Одностраничные web-приложения, Frontend картографических проектов, мобильные версии сайтов, специализированные системы администрирования и...","Профессиональное владение JavaScript, HTML5, CSS3. Знание особенностей различных браузеров и опыт применения этих знаний на практике. ","RUR","54000","92000"
"Машинист крана","Разгрузка/погрузка/размещение/перемещение/ предварительная комплектация в соответствии с принятыми технологиями. Работа на мостовых и козловых кранах.","Наличие удостоверения установленного образца. Опыт работы машинистом козловых, мостовых кранов от 2-х лет.","RUR","47000","49000"
"Менеджер по работе с входящим потоком клиентов","Проведение телефонных переговоров с потенциальными покупателями. Презентация объектов недвижимости и проведение личных встреч. Консультирование наших клиентов с целью заключения договоров...","Ориентированы на результат. Коммуникабельны.","RUR","100000","null"
"Продавец-консультант (ТВ техника)","Консультант находится рядом со стендом продвигаемой продукции или в непосредственной близости от стенда. Консультант обязан работать со всеми потенциальных покупателями...","Опыт работы от 0,5 года (желательно с бытовой техникой, ТВ). Знание основных этапов продаж. Знание Excel. Желание работать, энтузиазм. ","RUR","40000","null"
