name,responsibility,salary_from,salary_to,currency,url,area_name
Продавец-консультант (МЕГА Парнас)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Индивидуальные консультации по продукции бренда. Демонстрация продуктов бренда и спреинг парфюмерии. Участие в мерчендайзинге новых витрин и оформлении торгового зала.                                                                                                                                                                                                                                                                                                                                                         ,25000,0,RUR                                                             ,https://career.ru/vacancy/27422780                                                                                              ,Россия                                                          
Администратор-кассир (салон обуви Respect ТЦ Автозаводский Универмаг)                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Обслуживание покупателей в торговом зале. Обслуживание покупателей на кассе. Контроль работы персонала в торговом зале. Прием товара‚ возвраты‚ брак‚ решение...                                                                                                                                                                                                                                                                                                                                                                ,25000,0,RUR                                                             ,https://hh.ru/vacancy/28474945                                                                                                  ,Россия                                                          
Официант                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Сервировка столов. Принимать заказы от посетителей. Помогать гостям в выборе блюд и напитков. Подержание чистоты в зале.                                                                                                                                                                                                                                                                                                                                                                                                        ,20000,0,RUR                                                             ,https://career.ru/vacancy/28474944                                                                                              ,Россия                                                          
Продавец-кассир                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Работа на кассе‚ оформление кассовой документации. Консультирование и продажа товара. Поддержание порядка в предкассовой зоне.                                                                                                                                                                                                                                                                                                                                                                                                  ,30000,0,RUR                                                             ,https://career.ru/vacancy/28474936                                                                                              ,Россия                                                          
Официант                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Встреча и обслуживание гостей ресторана. Соблюдение стандартов сервиса. Соблюдение чистоты на рабочей территории. Выполнение плановых показателей.                                                                                                                                                                                                                                                                                                                                                                              ,25000,0,RUR                                                             ,https://career.ru/vacancy/28474929                                                                                              ,Россия                                                          
Специалист по документообороту                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Организация работы по ведению и финансово-юридическому сопровождению проектов. Общение с Клиентами (в контексте вопросов документов) на всех этапах работы...                                                                                                                                                                                                                                                                                                                                                                   ,25000,30000,RUR                                                             ,https://career.ru/vacancy/26420750                                                                                              ,Россия                                                          
Машинист насосных установок 5 разряд (Хмели)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,23000,24000,RUR                                                             ,https://hh.ru/vacancy/28474927                                                                                                  ,Россия                                                          
Специалист проверки бронирований                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Работа с личными кабинетами поставщиков и коммуникация с ними. Техническая проверка бронирований. Взаимодействие с другими командами. Внесение информации о проделанной...                                                                                                                                                                                                                                                                                                                                                      ,25000,0,RUR                                                             ,https://career.ru/vacancy/28474926                                                                                              ,Россия                                                          
Проектный менеджер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Руководство, которое не орёт и осознаёт, что делает. Помогаем людям ими пользоваться. Придумывать, как мы можем помочь. Согласовывать сроки и...                                                                                                                                                                                                                                                                                                                                                                                ",25000,0,RUR                                                             ,https://career.ru/vacancy/28474910                                                                                              ,Россия                                                          
Оператор call-центра в магазин автозапчастей Autodoc.ru                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Совершение звонков по уже существующей клиентской базе. Консультирование клиентов. Ведение отчетности.                                                                                                                                                                                                                                                                                                                                                                                                                          ,15000,20000,RUR                                                             ,https://hh.ru/vacancy/28474908                                                                                                  ,Россия                                                          
Web-программист (Junior)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Разработка и поддержка существующей системы. Обсуждение реализации функционала. Предложение и внедрение новых решений.                                                                                                                                                                                                                                                                                                                                                                                                          ,20000,30000,RUR                                                             ,https://career.ru/vacancy/22416573                                                                                              ,Россия                                                          
Специалист технической поддержки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Наблюдение и контроль работы систем мониторинга. Первичная диагностика неисправностей. Взаимодействие с клиентами, выявление потребностей.                                                                                                                                                                                                                                                                                                                                                                                      ",25000,0,RUR                                                             ,https://career.ru/vacancy/25723448                                                                                              ,Россия                                                          
Юрист                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Подготовка юридических документов (заключения, претензии, исковые заявления, локальные акты, договоры и т.д.). Консультирование руководства, персонала или клиентов.                                                                                                                                                                                                                                                                                                                                                            ",20000,0,RUR                                                             ,https://hh.ru/vacancy/28499123                                                                                                  ,Россия                                                          
Юрист - помощник арбитражного управляющего                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Участие в заседаниях арбитражных судов, заключение договоров, составление ходатайств в суд. Работа с клиентами, составление запросов, ходатайств, документации в рамках...                                                                                                                                                                                                                                                                                                                                                      ",20000,25000,RUR                                                             ,https://career.ru/vacancy/28187495                                                                                              ,Россия                                                          
Помощник бухгалтера-оператор                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"Обязанности: Выписка, оприходование товара, списание.Обработка первичной документации. Учет реализации в программах 1С:Управление Торговлей. 8,3 Общение с клиентами.                                                                                                                                                                                                                                                                                                                                                           ",15000,20000,RUR                                                             ,https://hh.ru/vacancy/28380227                                                                                                  ,Россия                                                          
